DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status,Min_ster_Temp,Max_ster_Temp,Overall Avg TE1,Overall Avg TE2,Overall Avg TE3,Overall Avg TE4,Overall Avg TP,Overall Var TE1,Overall Var TE2,Overall Var TE3,Overall Var TE4,Overall Var TP,Time
1,2.11,0.0,122.1,122.2,122.1,8,FAILED,122.1,122.2,47.12068965517241,114.39623824451411,115.15297805642633,114.96896551724137,1.5479310344827586,2803.8697592713047,131.9663380059537,112.16765619762992,115.73843634786415,0.6571711776187378,2019-01-09 09:42:00
2,2.1091803278688523,121.74426229508197,121.96311475409836,122.16147540983607,122.0139344262295,8,OK,121.2,122.2,92.99942693409741,112.80458452722064,113.55530085959886,113.6487106017192,1.100487106017192,874.4925284062841,127.4658984619437,114.34282383163719,109.50302275796177,0.7284747620459117,2019-01-09 11:30:00
3,2.1089344262295078,121.77950819672131,122.04016393442623,122.26967213114754,122.14016393442623,3,OK,121.2,122.4,90.73862928348909,113.89345794392524,114.79781931464174,114.57570093457944,1.074485981308411,925.5934406152635,86.88467581775708,77.09915147975099,81.66359521028036,0.8492154380841113,2019-01-09 12:32:00
4,2.1090243902439023,121.76016260162602,121.96829268292683,122.20325203252033,122.08292682926829,11,OK,121.2,122.3,88.13873873873874,113.45045045045045,114.35615615615615,114.06456456456456,1.0738738738738738,967.8782839465973,89.46600130250737,81.16403578277102,86.76368030681243,0.8247274177792249,2019-01-09 14:00:00
5,2.1097540983606557,121.59590163934426,121.83114754098361,122.02786885245901,121.88360655737706,10,OK,121.2,122.1,92.80446927374301,102.75949720670391,102.8600558659218,103.07793296089386,1.9597206703910612,879.6385233870079,473.95670226749905,492.6896885122779,450.13511392266423,0.14314333912335864,2019-01-09 16:10:00
6,2.1071874999999998,45.54375,121.828125,122.003125,121.878125,4,FAILED,121.2,122.1,45.49109589041096,100.4527397260274,98.11986301369863,100.95821917808219,0.8504794520547946,2234.4859201700506,327.6220958904106,354.28767170524304,317.43706991025095,0.7849990788852153,2019-01-09 16:44:00
7,2.1090983606557376,121.76639344262296,121.95409836065573,122.1344262295082,121.96967213114753,5,OK,121.2,122.2,88.29103641456582,107.76862745098039,108.3282913165266,108.2935574229692,1.0798319327731092,1200.3834587542885,321.72305794227765,308.98068611714314,318.46976174739586,0.7229089604381072,2019-01-10 09:36:00
8,2.109016393442623,121.81967213114754,121.94836065573772,122.15983606557377,122.04918032786885,6,OK,121.2,122.2,92.7813819577735,113.92988505747127,114.60921305182342,114.24587332053743,1.036781609195402,754.1432873172901,72.6916195644981,44.771453417983274,47.64475697622938,1.0274280097954873,2019-01-10 11:08:00
9,2.111065573770492,121.91311475409837,122.00655737704918,122.20409836065573,122.04590163934427,7,OK,121.2,122.3,92.73553299492387,112.62598225602027,113.5239847715736,113.03921319796953,1.0001394169835234,523.7468933623156,87.05865147684197,61.73908092479904,63.03890509807184,0.6911719348529594,2019-01-10 13:26:00
10,2.1096691176470586,121.85698529411764,121.97242647058823,122.175,122.04669117647057,20,OK,121.2,122.2,105.06301703163017,116.58616504854369,117.38807785888078,117.01557177615572,1.6081067961165048,764.5590191680016,120.08864024519887,80.27715019880146,89.28722034300615,1.197885458153214,2019-01-10 14:55:00
11,3.2191911764705883,135.8591911764706,135.97279411764706,136.18198529411765,136.08124999999998,20,OK,135.2,136.2,117.56496350364965,130.83503649635037,131.1221411192214,130.96326034063262,2.351581508515815,870.3835011572012,63.54233042549432,61.7864110141831,63.54296397839881,1.74821090736455,2019-01-10 16:07:00
12,2.0,96.68571429,118.6714286,118.5,118.6,20,Emergency Failure,0.0,0.0,41.09318181818182,68.5909090909091,69.90681818181818,68.51818181818182,0.29863636363636364,171.59413847780132,56.69572938689212,64.74111522198744,60.1657082452432,0.08502135306553912,2019-01-11 08:16:00
13,1.4298529411764704,109.77463235294118,109.98198529411764,110.17205882352941,110.02757352941177,20,OK,109.2,110.2,92.03594132029339,105.2073349633252,105.71882640586797,105.180195599022,1.0936674816625918,807.3551021141959,67.24332841938703,59.54736528596787,70.26134702047077,0.2922732813174169,2019-01-11 09:33:00
14,2.1094262295081965,121.75983606557377,121.93770491803278,122.14344262295081,121.98852459016393,9,OK,121.2,122.2,83.2782152230971,102.98241469816274,103.00944881889764,103.09606299212598,1.732782152230971,1205.6763925956632,427.2286109959933,449.74664732697977,416.0754318275998,0.5166990813648292,2019-01-11 14:08:00
15,0.85,95.88333333333333,113.0,114.25,113.2,7,FAILED,95.8,114.3,81.31350364963504,111.22768670309654,112.25474452554744,111.50729927007299,0.6556466302367941,423.2125778299687,45.925326938162385,23.829355876112693,22.00491920094994,0.5314490792815081,2019-01-11 16:48:00
16,0.08,19.7,19.7,19.8,19.8,1,Maintenance,95.8,114.3,20.52593457943925,20.557943925233644,20.49392523364486,20.52593457943925,0.6243255813953489,2.3382244087578474,2.1985985696108186,2.4778502479048767,2.3382244087578474,39.26753587480979,2019-01-14 15:05:00
17,3.15,27.0,27.2,27.4,27.3,2,Maintenance,95.8,114.3,26.023954983922827,25.967845659163988,26.08006430868167,26.023954983922827,3.037556270096463,11.132733637589421,10.458382118037461,11.80708515714138,11.132733637589421,0.17398949279120426,2019-01-14 16:04:00
18,2.10625,121.2875,121.6,121.725,121.6125,11,FAILED,121.2,121.8,68.47453703703704,91.59166666666667,93.9287037037037,94.26944444444445,0.6393055555555556,786.7731625753662,359.31899999999956,330.13573040482265,322.193294573644,0.4096678875968992,2019-01-15 10:20:00
