DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
1,2.11,0.0,122.1,122.2,122.1,8,FAILED
2,2.1091803278688523,121.74426229508197,121.96311475409836,122.16147540983607,122.0139344262295,8,OK
3,2.1089344262295078,121.77950819672131,122.04016393442623,122.26967213114754,122.14016393442623,3,OK
4,2.1090243902439023,121.76016260162602,121.96829268292683,122.20325203252033,122.08292682926829,11,OK
5,2.1097540983606557,121.59590163934426,121.83114754098361,122.02786885245901,121.88360655737706,10,OK
6,2.1071874999999998,45.54375,121.828125,122.003125,121.878125,4,FAILED
7,2.1090983606557376,121.76639344262296,121.95409836065573,122.1344262295082,121.96967213114753,5,OK
8,2.109016393442623,121.81967213114754,121.94836065573772,122.15983606557377,122.04918032786885,6,OK
9,2.111065573770492,121.91311475409837,122.00655737704918,122.20409836065573,122.04590163934427,7,OK
10,2.1096691176470586,121.85698529411764,121.97242647058823,122.175,122.04669117647057,20,OK
11,3.2191911764705883,135.8591911764706,135.97279411764706,136.18198529411765,136.08124999999998,20,OK
12,,,,,,20,Emergency Failure
13,1.4298529411764704,109.77463235294118,109.98198529411764,110.17205882352941,110.02757352941177,20,OK
14,2.1094262295081965,121.75983606557377,121.93770491803278,122.14344262295081,121.98852459016393,9,OK
15,0.85,95.88333333333333,113.0,114.25,113.2,7,FAILED
16,,,,,,1,Maintenance
17,,,,,,2,Maintenance
18,2.10625,121.2875,121.6,121.725,121.6125,11,FAILED
19,2.1086885245901636,121.77786885245901,121.95409836065573,122.14590163934427,121.95901639344262,11,OK
20,2.1089344262295078,121.7639344262295,121.95081967213115,122.1327868852459,121.95901639344262,9,OK
21,2.109016393442623,121.7672131147541,121.94508196721311,122.12295081967213,121.96229508196721,3,OK
22,2.1091803278688523,121.73196721311474,121.93770491803278,122.11967213114754,121.95737704918032,10,OK
23,2.1087704918032784,121.76147540983607,121.94098360655737,122.1155737704918,121.95737704918032,5,OK
24,2.11,121.76229508196721,121.97704918032788,122.15901639344261,121.98852459016393,4,OK
25,2.1091803278688523,121.77131147540985,121.95983606557377,122.14180327868851,121.99344262295081,6,OK
26,,,,,,20,Emergency Failure
27,2.109917127071823,121.79613259668507,121.99585635359117,122.19502762430939,122.0011049723757,20,OK
28,2.109878048780488,121.79658536585366,121.99609756097561,122.19024390243902,121.99756097560976,20,OK
29,,,,,,1,Maintenance
30,,,,,,1,Maintenance
31,,,,,,2,Maintenance
