Batch Status,Cycle End Time,DataLabel,Program Number
Maintenance,2020-02-12 21:13:00,151,1
Maintenance,2020-02-13 09:50:00,152,1
OK,2020-02-13 11:18:00,153,12
OK,2020-02-13 20:53:00,154,11
OK,2020-02-15 11:35:00,155,12
OK,2020-02-15 12:33:00,156,12
OK,2020-02-15 13:35:00,157,12
FAILED,2020-02-15 14:37:00,158,11
FAILED,2020-02-15 15:22:00,159,11
FAILED,2020-02-15 15:51:00,160,11
OK,2020-02-15 16:58:00,161,11
FAILED,2020-02-15 20:00:00,162,5
Emergency Failure,2020-02-16 08:48:00,163,2
Emergency Failure,2020-02-16 10:09:00,164,2
Maintenance,2020-02-16 12:14:00,165,2
OK,2020-02-16 14:13:00,166,5
Maintenance,2020-02-17 09:16:00,167,1
OK,2020-02-17 10:15:00,168,12
OK,2020-02-17 12:21:00,169,5
OK,2020-02-17 14:32:00,170,5
OK,2020-02-17 16:22:00,171,5
OK,2020-02-17 19:34:00,172,17
OK,2020-02-18 00:00:00,173,17
OK,2020-02-18 04:01:00,174,17
Maintenance,2020-02-18 09:27:00,175,1
OK,2020-02-18 10:26:00,176,12
OK,2020-02-18 13:40:00,177,17
OK,2020-02-18 16:56:00,178,17
OK,2020-02-18 19:45:00,179,17
OK,2020-02-18 22:35:00,180,17
OK,2020-02-19 01:19:00,181,17
OK,2020-02-19 04:26:00,182,17
Maintenance,2020-02-19 09:03:00,183,1
OK,2020-02-19 10:15:00,184,12
OK,2020-02-19 12:53:00,185,17
OK,2020-02-19 16:07:00,186,17
OK,2020-02-19 18:55:00,187,17
OK,2020-02-19 23:04:00,188,17
OK,2020-02-20 01:48:00,189,17
OK,2020-02-20 04:52:00,190,17
Maintenance,2020-02-20 09:01:00,191,1
OK,2020-02-20 10:21:00,192,12
OK,2020-02-20 13:32:00,193,17
OK,2020-02-20 16:22:00,194,17
FAILED,2020-02-20 17:43:00,195,17
Emergency Failure,2020-02-20 18:38:00,196,2
Emergency Failure,2020-02-20 20:04:00,197,2
