DataLabel,TE1,TE2,TE3,TE4,Program Number,Batch Status
1,0.0,122.1,122.2,122.1,8,FAILED
2,121.74426229508197,121.96311475409836,122.16147540983607,122.0139344262295,8,OK
3,121.77950819672131,122.04016393442623,122.26967213114754,122.14016393442623,3,OK
4,121.76016260162602,121.96829268292683,122.20325203252033,122.08292682926829,11,OK
5,121.59590163934426,121.83114754098361,122.02786885245901,121.88360655737706,10,OK
6,45.54375,121.828125,122.003125,121.878125,4,FAILED
7,121.76639344262296,121.95409836065573,122.1344262295082,121.96967213114753,5,OK
8,121.81967213114754,121.94836065573772,122.15983606557377,122.04918032786885,6,OK
9,121.91311475409837,122.00655737704918,122.20409836065573,122.04590163934427,7,OK
10,121.85698529411764,121.97242647058823,122.175,122.04669117647057,20,OK
11,135.8591911764706,135.97279411764706,136.18198529411765,136.08124999999998,20,OK
12,,,,,20,Emergency Failure
13,109.77463235294118,109.98198529411764,110.17205882352941,110.02757352941177,20,OK
14,121.75983606557377,121.93770491803278,122.14344262295081,121.98852459016393,9,OK
15,95.88333333333333,113.0,114.25,113.2,7,FAILED
16,,,,,1,Maintenance
17,,,,,2,Maintenance
18,121.2875,121.6,121.725,121.6125,11,FAILED
19,121.77786885245901,121.95409836065573,122.14590163934427,121.95901639344262,11,OK
20,121.7639344262295,121.95081967213115,122.1327868852459,121.95901639344262,9,OK
21,121.7672131147541,121.94508196721311,122.12295081967213,121.96229508196721,3,OK
22,121.73196721311474,121.93770491803278,122.11967213114754,121.95737704918032,10,OK
23,121.76147540983607,121.94098360655737,122.1155737704918,121.95737704918032,5,OK
24,121.76229508196721,121.97704918032788,122.15901639344261,121.98852459016393,4,OK
25,121.77131147540985,121.95983606557377,122.14180327868851,121.99344262295081,6,OK
26,,,,,20,Emergency Failure
27,121.79613259668507,121.99585635359117,122.19502762430939,122.0011049723757,20,OK
28,121.79658536585366,121.99609756097561,122.19024390243902,121.99756097560976,20,OK
29,,,,,1,Maintenance
30,,,,,1,Maintenance
31,,,,,2,Maintenance
32,,,,,20,Emergency Failure
33,,,,,20,Emergency Failure
34,121.79640883977899,121.99613259668507,122.17430939226519,121.99613259668507,20,OK
35,96.68571428571428,118.67142857142858,118.5,118.60000000000001,9,FAILED
36,,,,,1,Maintenance
37,,,,,2,Maintenance
38,107.14999999999999,107.35000000000001,107.5,107.45,8,FAILED
39,118.015625,118.140625,118.315625,118.2796875,8,FAILED
40,,,,,1,Maintenance
41,122.0155737704918,122.14344262295081,122.31229508196722,122.28360655737706,3,OK
42,120.97844311377246,121.5431137724551,121.68263473053892,121.66766467065868,4,OK
43,122.05491803278687,122.14180327868853,122.26803278688526,122.26065573770491,8,OK
44,122.06311475409835,122.14999999999999,122.33360655737705,122.29754098360655,4,OK
45,122.05,122.14344262295081,122.29754098360657,122.27704918032786,8,OK
46,121.34,121.44000000000001,121.66,121.64000000000001,11,FAILED
47,121.63076923076923,121.8153846153846,121.96923076923076,121.92307692307692,11,FAILED
48,122.03770491803279,122.13688524590165,122.32131147540984,122.29590163934427,5,OK
49,122.11065573770492,122.2827868852459,122.45901639344262,122.39672131147542,7,OK
50,122.06065573770492,122.19918032786885,122.35081967213115,122.31639344262295,6,OK
51,122.05983606557376,122.34508196721312,122.35409836065574,122.32622950819673,9,OK
52,119.44255319148937,119.64574468085107,119.83404255319148,119.7936170212766,10,FAILED
53,,,,,1,Maintenance
