,Time,TP,TE1,TE2,TE3,TE4,TE6,Program Number,Phase,Min_ster_Temp,Max_ster_Temp,Batch Status,Log name,PAD,TER1,TER2,TER3,TER4,TPR1,TE7,TER6,TPR2,TPR3,TPR4,TE17,DataLabel
5915,1/14/2019 15:13,0.99,,24.9,25.1,,,2,PREPARE AUTOCLAVE,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5916,1/14/2019 15:13,0.99,,24.9,25.1,,,2,PREPARE AUTOCLAVE,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5917,1/14/2019 15:13,0.99,,24.9,25.1,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5918,1/14/2019 15:13,1.5,,24.9,25.2,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5919,1/14/2019 15:14,1.96,,26.8,27.1,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5920,1/14/2019 15:14,2.4,,28.9,29.2,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5921,1/14/2019 15:14,2.8,,30.5,30.8,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5922,1/14/2019 15:14,3.03,,32,32.3,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5923,1/14/2019 15:14,3.12,,32.7,33.1,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5924,1/14/2019 15:14,3.15,,33.2,33.4,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5925,1/14/2019 15:15,3.15,,33.4,33.6,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5926,1/14/2019 15:15,3.16,,33.4,33.8,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5927,1/14/2019 15:15,3.16,,33.4,33.8,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5928,1/14/2019 15:15,3.17,,33.5,33.9,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
5929,1/14/2019 15:15,3.17,,33.5,33.9,,,2,PRESSURIZE CHAMBER,95.8,114.3,OK,00021.LOG,,,,,,,,,,,,,17
